Timestamp;		 Model;OuterFold;InnerFold;HPset;Epoch;TrainLoss;TrainAcc;ValLoss;ValAcc;AUC;EMA_ValLoss;LR;NoImprove;LrDrop;EsTriggered;BestValLoss;BestEpoch
09/02/25 - 10:06 ;		 MultiViewCNN;1;1;1;28;0.48477640267341365;0.8548387096774194;0.5924722802254462;0.6774193548387096;0.7436974789915966;0.5973722391424223;0.0002;0;0;0;0.5924722802254462;28
09/02/25 - 10:06 ;		 MultiViewCNN;1;1;1;29;0.5079480467304107;0.8225806451612904;0.5886269577087895;0.6451612903225806;0.7521008403361344;0.5947486547123324;0.0002;0;0;0;0.5886269577087895;29
09/02/25 - 10:07 ;		 MultiViewCNN;1;1;2;0;0.6901209046763759;0.5;0.6873495232674384;0.5483870967741935;0.7857142857142856;0.6873495232674384;0.0002;0;0;0;0.6873495232674384;0
09/02/25 - 10:08 ;		 MultiViewCNN;1;1;2;1;0.6844769370171332;0.5806451612903226;0.6837830889609552;0.5806451612903226;0.7941176470588236;0.6862795929754933;0.0002;1;0;0;0.6873495232674384;0
09/02/25 - 10:08 ;		 MultiViewCNN;1;1;2;2;0.6778901065549543;0.6451612903225806;0.6772515869909718;0.6451612903225806;0.7731092436974789;0.6835711911801368;0.0002;0;0;0;0.6772515869909718;2
09/02/25 - 10:09 ;		 MultiViewCNN;1;1;2;3;0.676382266706036;0.6129032258064516;0.6695555660032457;0.6129032258064516;0.7605042016806722;0.6793665036270694;0.0002;0;0;0;0.6695555660032457;3
09/02/25 - 10:09 ;		 MultiViewCNN;1;1;2;4;0.6648523961344073;0.6451612903225806;0.6629915448927111;0.5806451612903226;0.7563025210084033;0.6744540160067619;0.0002;0;0;0;0.6629915448927111;4
09/02/25 - 10:10 ;		 MultiViewCNN;1;1;2;5;0.6647430639113149;0.6451612903225806;0.6577425426052462;0.5483870967741935;0.7521008403361344;0.6694405739863072;0.0002;0;0;0;0.6577425426052462;5
09/02/25 - 10:10 ;		 MultiViewCNN;1;1;2;6;0.6527511227515436;0.6290322580645161;0.6524354065618208;0.5806451612903226;0.7563025210084034;0.6643390237589613;0.0002;0;0;0;0.6524354065618208;6
09/02/25 - 10:11 ;		 MultiViewCNN;1;1;2;7;0.6458296756590566;0.6774193548387096;0.6469641327857971;0.6129032258064516;0.7563025210084033;0.659126556467012;0.0002;0;0;0;0.6469641327857971;7
09/02/25 - 10:11 ;		 MultiViewCNN;1;1;2;8;0.6383356644261268;0.7096774193548387;0.6412737023445868;0.6129032258064516;0.7605042016806722;0.6537707002302844;0.0002;0;0;0;0.6412737023445868;8
09/02/25 - 10:12 ;		 MultiViewCNN;1;1;2;9;0.6402983338602127;0.7096774193548387;0.6362305283546448;0.6451612903225806;0.7647058823529411;0.6485086486675925;0.0002;0;0;0;0.6362305283546448;9
09/02/25 - 10:12 ;		 MultiViewCNN;1;1;2;10;0.6261817601419264;0.6935483870967742;0.6307839578197848;0.6451612903225806;0.7605042016806723;0.6431912414132501;0.0002;0;0;0;0.6307839578197848;10
09/02/25 - 10:12 ;		 MultiViewCNN;1;1;2;11;0.6078332489536654;0.7741935483870968;0.6271076779211721;0.6451612903225806;0.7563025210084033;0.6383661723656266;0.0002;0;0;0;0.6271076779211721;11
09/02/25 - 10:13 ;		 MultiViewCNN;1;1;2;12;0.6200256424565469;0.7096774193548387;0.6275911773404768;0.6451612903225806;0.7436974789915967;0.6351336738580816;0.0002;0;0;0;0.6275911773404768;12
09/02/25 - 10:13 ;		 MultiViewCNN;1;1;2;13;0.6162937629607416;0.7096774193548387;0.6193363089715281;0.6451612903225806;0.7647058823529411;0.6303944643921155;0.0002;0;0;0;0.6193363089715281;13
09/02/25 - 10:14 ;		 MultiViewCNN;1;1;2;14;0.5961406192471904;0.7096774193548387;0.6163251361539287;0.6451612903225806;0.7605042016806723;0.6261736659206594;0.0002;0;0;0;0.6163251361539287;14
09/02/25 - 10:15 ;		 MultiViewCNN;1;1;2;15;0.6283760128482696;0.6774193548387096;0.6128986650897611;0.6451612903225806;0.7647058823529412;0.6221911656713899;0.0002;0;0;0;0.6128986650897611;15
09/02/25 - 10:15 ;		 MultiViewCNN;1;1;2;16;0.5946443061674794;0.7580645161290323;0.6076851948615043;0.7096774193548387;0.7647058823529412;0.6178393744284242;0.0002;0;0;0;0.6076851948615043;16
09/02/25 - 10:16 ;		 MultiViewCNN;1;1;2;17;0.5565641935794584;0.8064516129032258;0.6054903711042097;0.6774193548387096;0.7689075630252101;0.6141346734311598;0.0002;0;0;0;0.6054903711042097;17
09/02/25 - 10:16 ;		 MultiViewCNN;1;1;2;18;0.5821762642552776;0.6935483870967742;0.6054580673094718;0.6774193548387096;0.7647058823529411;0.6115316915946534;0.0002;0;0;0;0.6054580673094718;18
09/02/25 - 10:17 ;		 MultiViewCNN;1;1;2;19;0.5847276026202787;0.7096774193548387;0.605461751261065;0.7096774193548387;0.7773109243697478;0.6097107094945768;0.0002;1;0;0;0.6054580673094718;18
09/02/25 - 10:17 ;		 MultiViewCNN;1;1;2;20;0.5444967458325047;0.7903225806451613;0.5939529499699993;0.7096774193548387;0.7815126050420167;0.6049833816372036;0.0002;0;0;0;0.5939529499699993;20
09/02/25 - 10:18 ;		 MultiViewCNN;1;1;2;21;0.5438763960715263;0.7741935483870968;0.5889739548006365;0.7096774193548387;0.7773109243697479;0.6001805535862335;0.0002;0;0;0;0.5889739548006365;21
09/02/25 - 10:19 ;		 MultiViewCNN;1;1;2;22;0.541281436720202;0.8064516129032258;0.59350594012968;0.7096774193548387;0.7731092436974789;0.5981781695492674;0.0002;0;0;0;0.59350594012968;22
09/02/25 - 10:19 ;		 MultiViewCNN;1;1;2;23;0.5665766808294481;0.7580645161290323;0.6105630859251945;0.7096774193548387;0.7815126050420169;0.6018936444620455;0.0002;1;0;0;0.59350594012968;22
09/02/25 - 10:20 ;		 MultiViewCNN;1;1;2;24;0.5211731406950182;0.8548387096774194;0.6090377069288685;0.7096774193548387;0.7941176470588235;0.6040368632020924;0.0002;2;0;0;0.59350594012968;22
09/02/25 - 10:20 ;		 MultiViewCNN;1;1;2;25;0.49787489637251825;0.8225806451612904;0.60961276677347;0.6774193548387096;0.7983193277310924;0.6057096342735057;0.0001;3;1;0;0.59350594012968;22
09/02/25 - 10:21 ;		 MultiViewCNN;1;1;2;26;0.530493886240067;0.7903225806451613;0.5774208432243716;0.7096774193548387;0.8109243697478992;0.5972229969587655;0.0001;4;0;0;0.59350594012968;22
09/02/25 - 10:21 ;		 MultiViewCNN;1;1;2;27;0.5250403938754913;0.8225806451612904;0.5755235927720224;0.7096774193548387;0.8067226890756304;0.5907131757027425;0.0001;0;0;0;0.5755235927720224;27
09/02/25 - 10:22 ;		 MultiViewCNN;1;1;2;28;0.5214396792073404;0.8387096774193549;0.5699224154795369;0.7419354838709677;0.8109243697478993;0.5844759476357808;0.0001;0;0;0;0.5699224154795369;28
